,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",-0.057829401433131,0.2599276512502167,8.618380048760766,5.548483135523914
"(5, 'split1')",0.1295819415867419,0.1938231529295338,7.89622005656389,5.052556376837949
"(5, 'split2')",0.1221399852508899,0.1571418999574578,8.09637550789407,5.3417323562624
"(5, 'split3')",0.2614953240946924,0.3287396754075434,7.411680014481592,4.478404314105769
"(5, 'split4')",0.29166456362626,0.3123625862984365,7.143843767798042,4.696318996365692
"(5, 'mean')",0.1494104826250906,0.2503989931686377,7.833299879099672,5.023499035819145
"(10, 'split0')",0.2967338222908121,0.3457546764267384,7.095539604023442,4.707610593481652
"(10, 'split1')",0.332687782551174,0.3384928900248029,6.963218733218606,4.646688377289334
"(10, 'split2')",0.2464902269496524,0.2790634161867079,7.408725229067773,4.881575830199258
"(10, 'split3')",0.2868081160228929,0.34872791860279,7.338454068125379,4.655826826916857
"(10, 'split4')",0.3652984179196263,0.382173835550185,6.777828025468652,4.547563540917867
"(10, 'mean')",0.3056036731468315,0.3388425473582448,7.11675313198077,4.687853033760994
"(15, 'split0')",0.3674840958793609,0.4010703156684434,6.778328987715359,4.428200135643226
"(15, 'split1')",0.4147797510557097,0.4198672496120093,6.37887460396266,4.509010119922324
"(15, 'split2')",0.2529197484675081,0.3078425231684605,7.505099074301357,4.858064909972959
"(15, 'split3')",0.2646062843017713,0.371280106422897,7.489749854720008,4.550470098338008
"(15, 'split4')",0.4067803614822599,0.4517010357140367,6.650326142310544,4.186744827522307
"(15, 'mean')",0.341314048237322,0.3903522461171694,6.960475732601987,4.506498018279765
"(20, 'split0')",0.372832924399948,0.4149296380809559,6.814346131381655,4.456640990023117
"(20, 'split1')",0.4652250586146591,0.474654349728896,5.964735773464793,4.145853829191407
"(20, 'split2')",0.2401689824683951,0.3074573902368173,7.619612181210188,4.970410715548552
"(20, 'split3')",0.2678931481058435,0.3642736407729891,7.586144292948989,4.661395680903061
"(20, 'split4')",0.4409444724542692,0.4600032424958999,6.350204657404668,4.100336579794626
"(20, 'mean')",0.357412917208623,0.4042636522631117,6.867008607282058,4.466927559092152
"(30, 'split0')",0.4308859268353123,0.4589256064416459,6.585564019152167,4.300472222530692
"(30, 'split1')",0.4641229410158047,0.4868670244885933,5.759861071318381,4.128175446053012
"(30, 'split2')",0.263101726542747,0.3486841585270091,7.674076586050305,4.864135425791943
"(30, 'split3')",0.4035039546544088,0.4282780148421704,6.818278022880453,4.411749909539427
"(30, 'split4')",0.4929270443008594,0.5130787700632192,6.019659517018768,3.8687381714622
"(30, 'mean')",0.4109083186698264,0.4471667148725275,6.571487843284015,4.314654235075455
"(40, 'split0')",0.5181792804598662,0.5194507275540353,6.166203110859995,4.08453280238184
"(40, 'split1')",0.5158681656664521,0.5312390139998224,5.564380967083256,3.901755329083944
"(40, 'split2')",0.411318438887625,0.4709924978734305,6.702862947307409,4.335234630867188
"(40, 'split3')",0.4989560257969678,0.5012116665952586,6.16995637089812,4.257762111845249
"(40, 'split4')",0.4938108648355098,0.5158875687437858,6.137586299570646,3.864216591733778
"(40, 'mean')",0.4876265551292841,0.5077562949532665,6.148197939143886,4.0887002931824
"(50, 'split0')",0.5187723789592871,0.5259491703659003,5.994322666724816,3.999195684133522
"(50, 'split1')",0.5492664897789318,0.5511301028147605,5.440381683116183,3.7668523848823785
"(50, 'split2')",0.451399532259533,0.5020184728241806,6.5093129725255725,4.3434377412902645
"(50, 'split3')",0.486067216518847,0.492609350864297,6.117560581652336,4.157835169184443
"(50, 'split4')",0.4856827573774284,0.49759823546049503,6.259770131700724,3.86018148798306
"(50, 'mean')",0.49823767497880544,0.5138610664659267,6.064269607143926,4.025500493494733
